t;X;Y;Z
0.0083333;-0.3127;0.54356;0.77055
0.016667;-0.31269;0.54355;0.77055
0.025;-0.3127;0.54356;0.77054
0.033333;-0.3127;0.54353;0.77055
0.041667;-0.3127;0.54352;0.77055
0.05;-0.31271;0.54354;0.77055
0.058333;-0.3127;0.54355;0.77053
0.066667;-0.31271;0.54356;0.77055
0.075;-0.3127;0.54357;0.77054
0.083333;-0.31269;0.54353;0.77054
0.091667;-0.3127;0.54353;0.77054
0.1;-0.31272;0.54361;0.77039
0.10833;-0.31271;0.5435;0.77055
0.11667;-0.31273;0.54348;0.77054
0.125;-0.31275;0.54344;0.77057
0.13333;-0.31276;0.54346;0.77056
0.14167;-0.31276;0.54341;0.77059
0.15;-0.31277;0.54344;0.77056
0.15833;-0.31278;0.54345;0.77057
0.16667;-0.3128;0.54343;0.77057
0.175;-0.31282;0.5435;0.77053
0.18333;-0.31279;0.5435;0.77051
0.19167;-0.31278;0.5435;0.77054
0.2;-0.3128;0.54354;0.77052
0.20833;-0.31283;0.54355;0.77051
0.21667;-0.31284;0.54354;0.77052
0.225;-0.31284;0.54368;0.77039
0.23333;-0.31284;0.54367;0.7705
0.24167;-0.31287;0.54368;0.77049
0.25;-0.31288;0.54377;0.77048
0.25833;-0.3129;0.54382;0.77047
0.26667;-0.31291;0.54392;0.77044
0.275;-0.3129;0.54404;0.77042
0.28333;-0.31274;0.5444;0.77075
0.29167;-0.31278;0.54479;0.77058
0.3;-0.31303;0.545;0.7707
0.30833;-0.313;0.54548;0.77072
0.31667;-0.31306;0.54626;0.77094
0.325;-0.31342;0.5476;0.77176
0.33333;-0.31248;0.54812;0.77137
0.34167;-0.31281;0.5496;0.77211
0.35;-0.31188;0.55025;0.77176
0.35833;-0.31116;0.55058;0.77102
0.36667;-0.31115;0.55297;0.7719
0.375;-0.31072;0.55534;0.77287
0.38333;-0.31024;0.55843;0.77396
0.39167;-0.30983;0.56132;0.77491
0.4;-0.30951;0.5656;0.77613
0.40833;-0.30908;0.5691;0.77705
0.41667;-0.30862;0.57338;0.77845
0.425;-0.30814;0.57823;0.7798
0.43333;-0.30726;0.58324;0.78104
0.44167;-0.30644;0.58855;0.78229
0.45;-0.30467;0.59334;0.78444
0.45833;-0.3029;0.59808;0.78757
0.46667;-0.30065;0.60336;0.79036
0.475;-0.2986;0.60946;0.793
0.48333;-0.2967;0.61581;0.79597
0.49167;-0.29461;0.62243;0.79895
0.5;-0.29228;0.62829;0.80159
0.50833;-0.2897;0.63447;0.8043
0.51667;-0.28756;0.64145;0.8071
0.525;-0.28512;0.64881;0.80976
0.53333;-0.2829;0.65639;0.81237
0.54167;-0.28035;0.66423;0.81495
0.55;-0.27723;0.67312;0.81774
0.55833;-0.27475;0.68141;0.82017
0.56667;-0.27246;0.68936;0.8222
0.575;-0.26979;0.69723;0.82412
0.58333;-0.26774;0.70512;0.8256
0.59167;-0.26575;0.71234;0.82709
0.6;-0.26214;0.72288;0.82911
0.60833;-0.26123;0.72949;0.82986
0.61667;-0.25878;0.73798;0.83084
0.625;-0.25585;0.74622;0.8319
0.63333;-0.25403;0.75404;0.83251
0.64167;-0.25243;0.76108;0.83236
0.65;-0.2515;0.76793;0.83227
0.65833;-0.24936;0.77575;0.83218
0.66667;-0.2481;0.78311;0.83204
0.675;-0.24807;0.78936;0.83167
0.68333;-0.2461;0.79653;0.83107
0.69167;-0.24568;0.80311;0.83056
0.7;-0.24532;0.80903;0.82963
0.70833;-0.24613;0.81434;0.82861
0.71667;-0.24546;0.82086;0.82775
0.725;-0.24593;0.82596;0.82656
0.73333;-0.24645;0.83089;0.82528
0.74167;-0.24693;0.83594;0.82436
0.75;-0.24806;0.8404;0.82317
0.75833;-0.24907;0.84451;0.82208
0.76667;-0.24998;0.84874;0.82149
0.775;-0.25166;0.85185;0.82028
0.78333;-0.25341;0.85486;0.81913
0.79167;-0.25543;0.85777;0.81794
0.8;-0.25739;0.86005;0.81676
0.80833;-0.25975;0.86253;0.81531
0.81667;-0.26185;0.86413;0.8137
0.825;-0.26251;0.86761;0.8126
0.83333;-0.26415;0.86972;0.81109
0.84167;-0.26579;0.87129;0.80941
0.85;-0.26795;0.87255;0.80795
0.85833;-0.27108;0.87174;0.80548
0.86667;-0.27363;0.87185;0.80388
0.875;-0.27493;0.87274;0.80291
0.88333;-0.27675;0.87276;0.80166
0.89167;-0.27797;0.87344;0.80073
0.9;-0.27851;0.87425;0.7998
0.90833;-0.27892;0.87463;0.79905
0.91667;-0.27994;0.87507;0.79857
0.925;-0.28057;0.87524;0.79846
0.93333;-0.28114;0.87564;0.79839
0.94167;-0.28155;0.87562;0.79837
0.95;-0.28173;0.87527;0.79848
0.95833;-0.28188;0.87463;0.79873
0.96667;-0.28218;0.87382;0.79938
0.975;-0.28248;0.87293;0.80037
0.98333;-0.28258;0.87177;0.80099
0.99167;-0.28252;0.87051;0.80149
1;-0.28261;0.86926;0.80211
1.0083;-0.28273;0.8683;0.80272
1.0167;-0.28346;0.86603;0.80323
1.025;-0.28348;0.86482;0.80392
1.0333;-0.28365;0.86313;0.80465
1.0417;-0.28431;0.86104;0.80498
1.05;-0.28418;0.85871;0.80557
1.0583;-0.28457;0.8562;0.80646
1.0667;-0.28444;0.85337;0.80702
1.075;-0.28524;0.85045;0.80801
1.0833;-0.28524;0.84716;0.80894
1.0917;-0.28551;0.84389;0.80989
1.1;-0.28588;0.84049;0.81105
1.1083;-0.2861;0.83666;0.81204
1.1167;-0.28618;0.83233;0.81324
1.125;-0.28652;0.82829;0.8142
1.1333;-0.2861;0.82516;0.8156
1.1417;-0.28717;0.8196;0.81635
1.15;-0.28756;0.81485;0.81728
1.1583;-0.28748;0.81088;0.81834
1.1667;-0.2879;0.80607;0.81912
1.175;-0.28821;0.801;0.81999
1.1833;-0.28874;0.79614;0.82061
1.1917;-0.28915;0.79113;0.82112
1.2;-0.28974;0.78576;0.82185
1.2083;-0.29014;0.78102;0.82235
1.2167;-0.29056;0.7754;0.82259
1.225;-0.29103;0.76978;0.82285
1.2333;-0.29158;0.76455;0.8229
1.2417;-0.29196;0.75925;0.82303
1.25;-0.29222;0.75381;0.82298
1.2583;-0.29271;0.74819;0.82282
1.2667;-0.29304;0.74292;0.82275
1.275;-0.29346;0.73769;0.82247
1.2833;-0.29387;0.732;0.82211
1.2917;-0.29433;0.7264;0.82172
1.3;-0.29459;0.72079;0.82126
1.3083;-0.29483;0.71545;0.82083
1.3167;-0.29517;0.71049;0.82064
1.325;-0.29547;0.70544;0.82012
1.3333;-0.29578;0.70076;0.81966
1.3417;-0.296;0.69585;0.81914
1.35;-0.29643;0.69121;0.8186
1.3583;-0.2966;0.6863;0.81779
1.3667;-0.29687;0.68203;0.81719
1.375;-0.29688;0.67781;0.81655
1.3833;-0.29729;0.67357;0.81586
1.3917;-0.29725;0.66947;0.81546
1.4;-0.29747;0.66542;0.81462
1.4083;-0.29765;0.6617;0.81405
1.4167;-0.29756;0.65753;0.81353
1.425;-0.29755;0.65499;0.81334
1.4333;-0.29747;0.6526;0.81321
1.4417;-0.29728;0.64888;0.81275
1.45;-0.29723;0.6455;0.81209
1.4583;-0.29723;0.64246;0.81177
1.4667;-0.2969;0.63954;0.81146
1.475;-0.29683;0.63657;0.81099
1.4833;-0.29668;0.63426;0.81084
1.4917;-0.29641;0.63142;0.81073
1.5;-0.29633;0.62906;0.81057
1.5083;-0.2961;0.62671;0.8103
1.5167;-0.29608;0.6246;0.81013
1.525;-0.29603;0.62241;0.80982
1.5333;-0.29583;0.62023;0.80934
1.5417;-0.29568;0.61832;0.809
1.55;-0.29584;0.61667;0.80862
1.5583;-0.29575;0.61476;0.80799
1.5667;-0.29562;0.61307;0.80755
1.575;-0.29555;0.61137;0.80713
1.5833;-0.29544;0.60989;0.80679
1.5917;-0.29521;0.60832;0.8064
1.6;-0.29516;0.60715;0.80604
1.6083;-0.29487;0.60551;0.80552
1.6167;-0.29464;0.60402;0.80497
1.625;-0.29467;0.60321;0.80472
1.6333;-0.29437;0.60177;0.80411
1.6417;-0.29429;0.60077;0.80355
1.65;-0.2942;0.59984;0.80291
1.6583;-0.29438;0.59905;0.80241
1.6667;-0.29392;0.59786;0.80192
1.675;-0.29367;0.59733;0.80214
1.6833;-0.2931;0.59647;0.80223
1.6917;-0.2927;0.59569;0.80243
1.7;-0.29268;0.59529;0.80246
1.7083;-0.29273;0.59463;0.80227
1.7167;-0.29254;0.59407;0.80222
1.725;-0.29232;0.59359;0.80232
1.7333;-0.2923;0.59326;0.80246
1.7417;-0.29231;0.59302;0.80247
1.75;-0.29229;0.5928;0.80249
1.7583;-0.29224;0.59249;0.80241
1.7667;-0.29209;0.59228;0.80238
1.775;-0.29195;0.59204;0.80233
1.7833;-0.29183;0.59196;0.80227
1.7917;-0.29159;0.59173;0.80209
1.8;-0.29146;0.59176;0.80192
1.8083;-0.29132;0.59191;0.80166
1.8167;-0.29111;0.59204;0.80121
1.825;-0.29101;0.59235;0.80054
1.8333;-0.29086;0.59257;0.79996
1.8417;-0.29069;0.59305;0.79933
1.85;-0.29014;0.59346;0.79864
1.8583;-0.28958;0.59338;0.79765
1.8667;-0.289;0.5934;0.7968
1.875;-0.28848;0.59341;0.7959
1.8833;-0.28816;0.59343;0.79518
1.8917;-0.28806;0.59349;0.79429
1.9;-0.28795;0.5936;0.79342
1.9083;-0.28806;0.59356;0.79281
1.9167;-0.28814;0.59357;0.79214
1.925;-0.2881;0.5936;0.7915
1.9333;-0.288;0.59358;0.79095
1.9417;-0.28813;0.59347;0.79032
1.95;-0.28822;0.59338;0.78971
1.9583;-0.28813;0.59321;0.78898
1.9667;-0.28824;0.59329;0.78836
1.975;-0.28823;0.59292;0.78764
1.9833;-0.28827;0.59274;0.78694
1.9917;-0.28827;0.59259;0.78636
2;-0.28823;0.59249;0.78563
2.0083;-0.2883;0.59244;0.78515
2.0167;-0.28829;0.59221;0.78469
2.025;-0.28823;0.59213;0.78431
2.0333;-0.28838;0.59201;0.78417
2.0417;-0.28848;0.59189;0.78413
2.05;-0.28858;0.59165;0.78419
2.0583;-0.28874;0.59157;0.7845
2.0667;-0.28886;0.59143;0.7848
2.075;-0.28892;0.59122;0.78519
2.0833;-0.28933;0.59133;0.78587
2.0917;-0.28979;0.59144;0.78663
2.1;-0.2904;0.59153;0.78718
2.1083;-0.29114;0.5918;0.78767
2.1167;-0.29186;0.59215;0.78819
2.125;-0.29287;0.59259;0.78875
2.1333;-0.29384;0.59307;0.78928
2.1417;-0.29517;0.59384;0.78983
2.15;-0.29649;0.59457;0.79018
2.1583;-0.29792;0.59558;0.79074
2.1667;-0.29971;0.5968;0.79141
