t;X;Y;Z
0.0083333;-0.30817;0.1315;0.7583
0.016667;-0.30817;0.1315;0.75827
0.025;-0.30812;0.13151;0.75829
0.033333;-0.30811;0.1315;0.75831
0.041667;-0.30812;0.13151;0.75833
0.05;-0.30812;0.13151;0.7583
0.058333;-0.30807;0.13151;0.7583
0.066667;-0.30807;0.13148;0.75832
0.075;-0.30808;0.13148;0.75832
0.083333;-0.30804;0.1315;0.75834
0.091667;-0.30807;0.13148;0.75832
0.1;-0.30809;0.1315;0.75831
0.10833;-0.30811;0.13154;0.75829
0.11667;-0.3081;0.13154;0.75831
0.125;-0.30809;0.13153;0.75832
0.13333;-0.30809;0.13152;0.75832
0.14167;-0.30812;0.13153;0.75832
0.15;-0.30816;0.13153;0.7583
0.15833;-0.30815;0.13153;0.75828
0.16667;-0.30815;0.13148;0.75832
0.175;-0.30815;0.1315;0.75833
0.18333;-0.30817;0.1315;0.75831
0.19167;-0.30816;0.1315;0.75831
0.2;-0.30817;0.1315;0.75831
0.20833;-0.30815;0.13152;0.75831
0.21667;-0.30815;0.13152;0.75832
0.225;-0.30812;0.13153;0.75828
0.23333;-0.30812;0.13153;0.75831
0.24167;-0.30814;0.13152;0.75833
0.25;-0.30815;0.13152;0.75832
0.25833;-0.30811;0.13152;0.75827
0.26667;-0.30813;0.13151;0.75828
0.275;-0.30814;0.13151;0.7583
0.28333;-0.30818;0.1315;0.75832
0.29167;-0.30819;0.1315;0.75831
0.3;-0.30813;0.13151;0.75828
0.30833;-0.30812;0.1315;0.75827
0.31667;-0.30812;0.13151;0.75825
0.325;-0.30813;0.13152;0.75827
0.33333;-0.30813;0.13154;0.75826
0.34167;-0.30814;0.13154;0.75829
0.35;-0.30813;0.13152;0.75831
0.35833;-0.30811;0.13153;0.7583
0.36667;-0.30815;0.13152;0.75831
0.375;-0.30814;0.13151;0.75829
0.38333;-0.30816;0.13153;0.75829
0.39167;-0.30818;0.13153;0.7583
0.4;-0.30815;0.13155;0.75827
0.40833;-0.30815;0.13153;0.75828
0.41667;-0.30815;0.13153;0.75831
0.425;-0.30815;0.13155;0.75827
0.43333;-0.30813;0.13154;0.75827
0.44167;-0.30813;0.13154;0.75827
0.45;-0.30813;0.13154;0.75827
0.45833;-0.30812;0.13154;0.75827
0.46667;-0.30813;0.13154;0.75829
0.475;-0.30813;0.13155;0.75829
0.48333;-0.30816;0.13153;0.7583
0.49167;-0.30816;0.13153;0.7583
0.5;-0.30819;0.13151;0.75831
0.50833;-0.30818;0.13151;0.75831
0.51667;-0.30818;0.13151;0.75831
0.525;-0.30817;0.1315;0.7583
0.53333;-0.30817;0.13153;0.75831
0.54167;-0.30818;0.13154;0.75829
0.55;-0.30818;0.13153;0.75828
0.55833;-0.3082;0.13152;0.75831
0.56667;-0.30822;0.1315;0.75834
0.575;-0.30819;0.13149;0.75832
0.58333;-0.30821;0.13149;0.75832
0.59167;-0.3082;0.13149;0.75833
0.6;-0.30824;0.13148;0.75835
0.60833;-0.30821;0.13147;0.75837
0.61667;-0.3082;0.1315;0.75836
0.625;-0.30819;0.13149;0.75834
0.63333;-0.30819;0.13149;0.75834
0.64167;-0.30819;0.13149;0.75835
0.65;-0.30817;0.13151;0.75832
0.65833;-0.30818;0.13152;0.75831
0.66667;-0.30818;0.13155;0.75833
0.675;-0.30817;0.13155;0.7583
0.68333;-0.30817;0.13155;0.7583
0.69167;-0.30819;0.13153;0.75832
0.7;-0.30822;0.13153;0.75834
0.70833;-0.30822;0.13152;0.75832
0.71667;-0.30825;0.13152;0.75832
0.725;-0.30822;0.13151;0.75832
0.73333;-0.30824;0.13152;0.75829
0.74167;-0.30821;0.13153;0.75829
0.75;-0.30821;0.13153;0.75829
0.75833;-0.3082;0.13153;0.75831
0.76667;-0.30821;0.13152;0.75831
0.775;-0.30822;0.13153;0.75832
0.78333;-0.3082;0.13152;0.75832
0.79167;-0.30822;0.13153;0.75832
0.8;-0.30822;0.13153;0.75832
0.80833;-0.30821;0.13153;0.7583
0.81667;-0.3082;0.13152;0.75828
0.825;-0.30821;0.13153;0.75827
0.83333;-0.3082;0.13153;0.75828
0.84167;-0.30819;0.13152;0.75829
0.85;-0.3082;0.13153;0.7583
0.85833;-0.30821;0.13154;0.75831
0.86667;-0.30818;0.13156;0.75829
0.875;-0.30821;0.13155;0.7583
0.88333;-0.30821;0.13154;0.75827
0.89167;-0.30825;0.13156;0.75827
0.9;-0.30822;0.13158;0.75827
0.90833;-0.30822;0.13158;0.75827
0.91667;-0.30824;0.13156;0.75828
0.925;-0.30825;0.13154;0.75827
0.93333;-0.30825;0.13153;0.75829
0.94167;-0.30826;0.1315;0.7583
0.95;-0.30826;0.13153;0.75829
0.95833;-0.30824;0.13152;0.75829
0.96667;-0.30825;0.13153;0.75829
0.975;-0.30823;0.13152;0.75829
0.98333;-0.30825;0.13152;0.7583
0.99167;-0.30824;0.13153;0.7583
1;-0.30829;0.13153;0.75827
1.0083;-0.30826;0.13153;0.75827
1.0167;-0.30825;0.13154;0.75827
1.025;-0.30823;0.13155;0.75825
1.0333;-0.30826;0.13153;0.75826
1.0417;-0.30828;0.13153;0.75828
1.05;-0.30825;0.13154;0.75828
1.0583;-0.30825;0.13152;0.75828
1.0667;-0.30827;0.13151;0.75828
1.075;-0.30827;0.13148;0.75831
1.0833;-0.30827;0.13145;0.75828
1.0917;-0.30825;0.13151;0.75827
1.1;-0.30825;0.13149;0.75827
1.1083;-0.30825;0.13152;0.75828
1.1167;-0.30823;0.13154;0.75825
1.125;-0.30823;0.13154;0.75825
1.1333;-0.30824;0.13155;0.75825
1.1417;-0.30823;0.13154;0.75825
1.15;-0.30825;0.13155;0.75826
1.1583;-0.30823;0.13154;0.75825
1.1667;-0.30824;0.13155;0.75827
1.175;-0.30824;0.13157;0.75825
1.1833;-0.30825;0.13155;0.75826
1.1917;-0.30827;0.13154;0.75827
1.2;-0.30828;0.13154;0.75827
1.2083;-0.30828;0.13155;0.75828
1.2167;-0.30829;0.13156;0.75829
1.225;-0.30829;0.13156;0.75829
1.2333;-0.30829;0.13156;0.75829
1.2417;-0.3083;0.13157;0.75831
1.25;-0.30829;0.13156;0.75829
1.2583;-0.3083;0.13157;0.75831
1.2667;-0.30826;0.13158;0.75831
1.275;-0.30829;0.13157;0.75832
1.2833;-0.30829;0.13156;0.75832
1.2917;-0.3083;0.13157;0.7583
1.3;-0.3083;0.13157;0.75831
1.3083;-0.3083;0.13157;0.75831
1.3167;-0.30833;0.13158;0.7583
1.325;-0.30831;0.13157;0.75828
1.3333;-0.30832;0.13162;0.75826
1.3417;-0.3083;0.13158;0.75828
1.35;-0.30831;0.13159;0.7583
1.3583;-0.30831;0.1316;0.75831
1.3667;-0.30832;0.13161;0.75826
1.375;-0.30831;0.13161;0.75827
1.3833;-0.30831;0.13157;0.75828
1.3917;-0.30831;0.1316;0.75828
1.4;-0.30831;0.1316;0.75828
1.4083;-0.30832;0.13161;0.75826
1.4167;-0.30831;0.1316;0.75827
1.425;-0.30831;0.1316;0.75825
1.4333;-0.30831;0.13156;0.75826
1.4417;-0.30832;0.13157;0.75825
1.45;-0.30832;0.13157;0.75822
1.4583;-0.30831;0.13159;0.75824
1.4667;-0.30831;0.1316;0.75824
1.475;-0.30831;0.13159;0.75825
1.4833;-0.30831;0.13159;0.75825
1.4917;-0.3083;0.13158;0.75824
1.5;-0.3083;0.13157;0.75826
1.5083;-0.30831;0.13158;0.75827
1.5167;-0.30833;0.13153;0.7583
1.525;-0.30833;0.13154;0.75828
1.5333;-0.30834;0.13151;0.7583
1.5417;-0.30834;0.13151;0.7583
1.55;-0.30836;0.13155;0.75828
1.5583;-0.30834;0.13155;0.75826
1.5667;-0.30834;0.13154;0.75827
1.575;-0.30832;0.13157;0.75826
1.5833;-0.30833;0.13157;0.75824
1.5917;-0.30832;0.13157;0.75826
1.6;-0.3083;0.13159;0.75824
1.6083;-0.30833;0.13154;0.75825
1.6167;-0.30831;0.13157;0.75823
1.625;-0.3083;0.13159;0.75826
1.6333;-0.30831;0.13159;0.75825
1.6417;-0.30833;0.13158;0.75826
1.65;-0.30834;0.13158;0.75825
1.6583;-0.30833;0.13158;0.75823
1.6667;-0.30831;0.1316;0.75824
1.675;-0.30831;0.1316;0.75824
1.6833;-0.3083;0.13159;0.75826
1.6917;-0.30831;0.13159;0.75825
1.7;-0.30831;0.13159;0.75825
1.7083;-0.30834;0.13158;0.75825
1.7167;-0.30834;0.13155;0.75826
1.725;-0.30832;0.13157;0.75825
1.7333;-0.30831;0.13156;0.75827
1.7417;-0.30832;0.13157;0.75824
1.75;-0.30835;0.13156;0.75825
1.7583;-0.30832;0.13157;0.75825
1.7667;-0.30831;0.13156;0.75824
1.775;-0.30833;0.13154;0.75824
1.7833;-0.30833;0.13154;0.75824
1.7917;-0.30832;0.13156;0.75825
1.8;-0.30834;0.13154;0.75828
1.8083;-0.30833;0.13153;0.75826
1.8167;-0.30833;0.13155;0.75827
1.825;-0.30833;0.13157;0.75827
1.8333;-0.30833;0.13157;0.75827
1.8417;-0.30833;0.13158;0.75826
1.85;-0.30831;0.1316;0.75824
1.8583;-0.30834;0.13159;0.75824
1.8667;-0.30834;0.13158;0.75825
1.875;-0.30836;0.13159;0.75825
1.8833;-0.30835;0.13158;0.75827
1.8917;-0.30833;0.13161;0.75827
1.9;-0.30834;0.13163;0.75826
1.9083;-0.30833;0.13161;0.75827
1.9167;-0.30833;0.13161;0.75827
1.925;-0.30832;0.1316;0.75829
1.9333;-0.30831;0.13159;0.75828
1.9417;-0.30831;0.1316;0.75828
1.95;-0.3083;0.1316;0.75829
1.9583;-0.30831;0.1316;0.75828
1.9667;-0.30827;0.13161;0.75828
1.975;-0.3083;0.1316;0.75828
1.9833;-0.30827;0.13162;0.75827
1.9917;-0.30828;0.13162;0.75828
2;-0.30826;0.13161;0.75826
2.0083;-0.30827;0.13158;0.75827
2.0167;-0.30832;0.13156;0.75829
2.025;-0.3083;0.13156;0.75828
2.0333;-0.3083;0.13156;0.75829
2.0417;-0.30831;0.13156;0.75827
2.05;-0.30829;0.13157;0.75826
2.0583;-0.30827;0.1316;0.75824
2.0667;-0.30828;0.1316;0.75825
2.075;-0.30827;0.1316;0.75823
2.0833;-0.30828;0.13156;0.75825
2.0917;-0.30831;0.13156;0.75824
2.1;-0.30832;0.13157;0.75825
2.1083;-0.30831;0.13154;0.75824
2.1167;-0.30834;0.13152;0.75829
2.125;-0.30836;0.13152;0.75826
2.1333;-0.30837;0.13151;0.75824
2.1417;-0.3084;0.1315;0.75822
2.15;-0.30841;0.13151;0.75823
2.1583;-0.30845;0.1315;0.75823
2.1667;-0.30844;0.1315;0.75822
2.175;-0.30846;0.13148;0.75822
2.1833;-0.30848;0.13144;0.75823
2.1917;-0.30851;0.13147;0.7582
2.2;-0.30851;0.13147;0.75819
2.2083;-0.30851;0.13148;0.75818
2.2167;-0.30854;0.13147;0.75818
2.225;-0.30855;0.13144;0.75819
2.2333;-0.30853;0.13141;0.75818
2.2417;-0.30853;0.1314;0.75819
2.25;-0.30852;0.13139;0.75819
2.2583;-0.3085;0.13137;0.7582
2.2667;-0.3085;0.13137;0.75818
2.275;-0.30851;0.13138;0.75818
2.2833;-0.30854;0.13133;0.75818
2.2917;-0.30857;0.13135;0.75817
2.3;-0.30858;0.13136;0.75817
2.3083;-0.30858;0.13133;0.75814
2.3167;-0.30861;0.13135;0.75815
2.325;-0.30861;0.13135;0.75816
2.3333;-0.30862;0.13136;0.75814
2.3417;-0.30868;0.13136;0.75813
2.35;-0.30867;0.13137;0.75811
2.3583;-0.3087;0.13133;0.75811
2.3667;-0.30872;0.13132;0.75812
2.375;-0.30874;0.13132;0.75811
2.3833;-0.30877;0.13127;0.75809
2.3917;-0.3088;0.13124;0.75809
2.4;-0.30882;0.1312;0.75812
2.4083;-0.30885;0.13113;0.75809
2.4167;-0.30887;0.13106;0.75809
2.425;-0.30893;0.1308;0.75811
2.4333;-0.30897;0.13036;0.75809
2.4417;-0.30902;0.13022;0.75808
2.45;-0.30913;0.13003;0.75809
2.4583;-0.30918;0.12961;0.75811
2.4667;-0.30906;0.12852;0.75814
2.475;-0.30887;0.12734;0.75812
2.4833;-0.3086;0.12594;0.75812
2.4917;-0.30845;0.12466;0.7582
2.5;-0.3084;0.12332;0.75824
2.5083;-0.30822;0.12195;0.75826
2.5167;-0.30804;0.1205;0.75828
2.525;-0.30788;0.1189;0.75833
2.5333;-0.3078;0.11712;0.75827
2.5417;-0.30755;0.11523;0.75825
2.55;-0.30749;0.11336;0.75831
2.5583;-0.30739;0.11138;0.75832
2.5667;-0.30719;0.10931;0.75832
2.575;-0.30713;0.10719;0.75833
2.5833;-0.30706;0.10497;0.75835
2.5917;-0.30703;0.1027;0.75836
2.6;-0.30695;0.10039;0.75834
2.6083;-0.30692;0.098054;0.75833
2.6167;-0.30696;0.095599;0.7583
2.625;-0.30698;0.093114;0.75836
2.6333;-0.30697;0.09065;0.75826
2.6417;-0.30707;0.088151;0.75824
2.65;-0.30718;0.085668;0.75821
2.6583;-0.30734;0.082994;0.75821
2.6667;-0.30746;0.08031;0.75814
2.675;-0.30752;0.077641;0.75811
2.6833;-0.30761;0.074846;0.75807
2.6917;-0.3077;0.072101;0.75804
2.7;-0.3077;0.069302;0.75806
2.7083;-0.30766;0.066374;0.75805
2.7167;-0.30775;0.063402;0.75806
2.725;-0.30764;0.060441;0.758
2.7333;-0.30765;0.057277;0.75804
2.7417;-0.3075;0.053964;0.75801
2.75;-0.30745;0.05076;0.75804
2.7583;-0.3073;0.04743;0.75808
2.7667;-0.30718;0.044116;0.75805
2.775;-0.30703;0.040842;0.75805
2.7833;-0.30689;0.037478;0.75806
2.7917;-0.30673;0.034199;0.75813
2.8;-0.30653;0.030883;0.75806
2.8083;-0.30642;0.027785;0.75808
2.8167;-0.30644;0.02465;0.75803
2.825;-0.30632;0.02162;0.75807
2.8333;-0.30633;0.018847;0.75802
2.8417;-0.30643;0.016045;0.75803
2.85;-0.30636;0.013215;0.75805
2.8583;-0.30652;0.010601;0.75809
2.8667;-0.30652;0.0081009;0.75805
2.875;-0.3066;0.0057375;0.75801
2.8833;-0.30679;0.0033923;0.75806
2.8917;-0.30687;0.0011087;0.75802
2.9;-0.30692;-0.0010845;0.758
2.9083;-0.30703;-0.0033207;0.75801
2.9167;-0.30713;-0.0054292;0.75799
2.925;-0.30729;-0.0076355;0.75796
2.9333;-0.30726;-0.0098863;0.75798
2.9417;-0.30709;-0.011946;0.75797
2.95;-0.30699;-0.01413;0.75796
2.9583;-0.30698;-0.015889;0.75801
2.9667;-0.30688;-0.017795;0.75787
2.975;-0.30702;-0.019374;0.75798
2.9833;-0.30705;-0.02113;0.75794
2.9917;-0.3069;-0.022939;0.75791
3;-0.3068;-0.024581;0.75799
3.0083;-0.3067;-0.026468;0.75801
3.0167;-0.30662;-0.027951;0.75806
3.025;-0.30647;-0.029734;0.75797
3.0333;-0.30647;-0.031449;0.75805
3.0417;-0.30653;-0.032943;0.75806
3.05;-0.30654;-0.034481;0.75807
3.0583;-0.30642;-0.035934;0.75805
3.0667;-0.30645;-0.037231;0.75811
3.075;-0.30642;-0.038387;0.75815
3.0833;-0.30644;-0.039503;0.75804
3.0917;-0.30658;-0.040328;0.75805
3.1;-0.30665;-0.041063;0.75806
3.1083;-0.30677;-0.041589;0.75802
3.1167;-0.30693;-0.041894;0.75796
3.125;-0.30711;-0.042062;0.75792
3.1333;-0.30726;-0.042151;0.75787
3.1417;-0.30741;-0.042169;0.75782
3.15;-0.3075;-0.042219;0.7578
3.1583;-0.30764;-0.042274;0.75779
3.1667;-0.30776;-0.04228;0.75773
3.175;-0.30782;-0.042316;0.75772
3.1833;-0.30793;-0.042319;0.75768
3.1917;-0.30801;-0.042322;0.75764
3.2;-0.30811;-0.042338;0.75763
3.2083;-0.30824;-0.042421;0.75766
3.2167;-0.30824;-0.042805;0.75765
3.225;-0.30822;-0.043;0.7577
3.2333;-0.30821;-0.043194;0.75772
3.2417;-0.30815;-0.043373;0.75774
3.25;-0.30807;-0.043547;0.75775
3.2583;-0.308;-0.043814;0.75783
3.2667;-0.30782;-0.044243;0.75789
3.275;-0.30766;-0.04465;0.75791
3.2833;-0.30758;-0.044997;0.75793
3.2917;-0.30752;-0.045179;0.75794
3.3;-0.30751;-0.045382;0.75793
3.3083;-0.30744;-0.045475;0.75792
3.3167;-0.30744;-0.045558;0.75791
3.325;-0.30747;-0.04562;0.7579
3.3333;-0.30748;-0.045622;0.7579
3.3417;-0.30753;-0.045623;0.75789
3.35;-0.3076;-0.045634;0.75789
3.3583;-0.30765;-0.045623;0.75787
3.3667;-0.30769;-0.0456;0.75788
3.375;-0.30771;-0.045627;0.75786
3.3833;-0.30774;-0.045643;0.75787
3.3917;-0.30771;-0.045651;0.75787
3.4;-0.30771;-0.045623;0.75789
3.4083;-0.30772;-0.045618;0.75791
3.4167;-0.3077;-0.045636;0.75793
3.425;-0.30766;-0.045647;0.75794
3.4333;-0.30764;-0.045582;0.75794
3.4417;-0.30763;-0.045551;0.75793
3.45;-0.30765;-0.045574;0.75793
3.4583;-0.30764;-0.045547;0.75792
3.4667;-0.30765;-0.045574;0.75793
3.475;-0.3076;-0.045619;0.75793
3.4833;-0.30753;-0.045713;0.75795
3.4917;-0.30749;-0.04577;0.75794
3.5;-0.30746;-0.045816;0.75796
3.5083;-0.30741;-0.04586;0.75797
3.5167;-0.30735;-0.045882;0.75799
3.525;-0.30732;-0.045908;0.75799
3.5333;-0.30724;-0.045923;0.75798
3.5417;-0.30719;-0.045947;0.75797
3.55;-0.30717;-0.045964;0.75796
3.5583;-0.30715;-0.045966;0.75796
3.5667;-0.3071;-0.045967;0.75794
3.575;-0.30707;-0.045997;0.75795
3.5833;-0.30705;-0.046013;0.75796
3.5917;-0.30702;-0.046025;0.75797
3.6;-0.30699;-0.046019;0.75798
3.6083;-0.30696;-0.046032;0.75797
3.6167;-0.30691;-0.046041;0.75795
3.625;-0.30692;-0.046041;0.75797
3.6333;-0.30692;-0.046076;0.75797
3.6417;-0.30691;-0.046065;0.75795
3.65;-0.30692;-0.04606;0.75797
3.6583;-0.30691;-0.046066;0.75795
3.6667;-0.30693;-0.046075;0.75796
3.675;-0.30696;-0.046094;0.75796
3.6833;-0.30699;-0.046096;0.75798
3.6917;-0.307;-0.046101;0.75793
3.7;-0.30699;-0.046099;0.75793
3.7083;-0.30703;-0.046136;0.75794
3.7167;-0.30702;-0.046126;0.75792
3.725;-0.30705;-0.046124;0.75793
3.7333;-0.30707;-0.046157;0.75794
3.7417;-0.30707;-0.046175;0.75794
3.75;-0.30703;-0.046193;0.75794
3.7583;-0.30702;-0.046181;0.75796
3.7667;-0.30702;-0.046192;0.75797
3.775;-0.30702;-0.046192;0.75797
3.7833;-0.30701;-0.046196;0.75796
3.7917;-0.30702;-0.046174;0.75797
3.8;-0.307;-0.046173;0.75796
3.8083;-0.30701;-0.046183;0.75797
3.8167;-0.30704;-0.046158;0.75796
3.825;-0.30705;-0.046162;0.75799
3.8333;-0.30702;-0.046149;0.75797
3.8417;-0.30701;-0.046149;0.75798
3.85;-0.30699;-0.046158;0.75797
3.8583;-0.30702;-0.046163;0.75796
3.8667;-0.30702;-0.046167;0.75797
3.875;-0.307;-0.046171;0.75799
3.8833;-0.30695;-0.046166;0.75799
3.8917;-0.30697;-0.046182;0.758
3.9;-0.30698;-0.046183;0.75799
3.9083;-0.30696;-0.046147;0.75799
3.9167;-0.30694;-0.04612;0.75799
3.925;-0.30694;-0.046114;0.75798
3.9333;-0.30693;-0.046092;0.75798
3.9417;-0.30693;-0.046097;0.758
3.95;-0.30693;-0.046104;0.758
3.9583;-0.30695;-0.04612;0.75801
3.9667;-0.30693;-0.04611;0.75801
3.975;-0.30693;-0.046113;0.75802
3.9833;-0.30693;-0.046113;0.75802
3.9917;-0.30695;-0.046124;0.75799
4;-0.30693;-0.046117;0.758
4.0083;-0.30694;-0.0461;0.75803
4.0167;-0.30693;-0.046112;0.75801
4.025;-0.30693;-0.046117;0.758
4.0333;-0.30695;-0.046107;0.75798
4.0417;-0.30695;-0.046104;0.75799
4.05;-0.30695;-0.046093;0.75797
4.0583;-0.30694;-0.046065;0.75796
4.0667;-0.30695;-0.046069;0.75796
4.075;-0.30695;-0.046083;0.75798
4.0833;-0.307;-0.046068;0.75798
4.0917;-0.30696;-0.046071;0.75798
4.1;-0.30696;-0.046071;0.75798
4.1083;-0.30696;-0.046052;0.75799
4.1167;-0.30695;-0.046056;0.75798
4.125;-0.30696;-0.046063;0.75798
4.1333;-0.30696;-0.046063;0.75798
4.1417;-0.30695;-0.046081;0.75798
4.15;-0.30695;-0.046081;0.75798
4.1583;-0.30694;-0.046059;0.75799
4.1667;-0.30694;-0.046083;0.75799
4.175;-0.30696;-0.046094;0.758
4.1833;-0.30696;-0.046067;0.758
4.1917;-0.30693;-0.046078;0.75799
4.2;-0.30693;-0.046084;0.758
4.2083;-0.30695;-0.046076;0.75799
4.2167;-0.30694;-0.04608;0.75798
4.225;-0.30694;-0.046081;0.75798
4.2333;-0.30695;-0.046089;0.75798
4.2417;-0.30696;-0.046113;0.75799
4.25;-0.30696;-0.046071;0.75798
4.2583;-0.30696;-0.046117;0.758
4.2667;-0.30698;-0.046125;0.75799
4.275;-0.30696;-0.046114;0.75799
4.2833;-0.30694;-0.046101;0.75798
4.2917;-0.30696;-0.046118;0.758
4.3;-0.30695;-0.046122;0.75798
4.3083;-0.30698;-0.046129;0.758
4.3167;-0.30695;-0.046118;0.75797
4.325;-0.30695;-0.046118;0.75797
4.3333;-0.30695;-0.046109;0.75799
4.3417;-0.30695;-0.046109;0.75799
4.35;-0.30698;-0.046123;0.75799
4.3583;-0.307;-0.046145;0.75799
4.3667;-0.30698;-0.046127;0.758
4.375;-0.30698;-0.046126;0.758
4.3833;-0.30701;-0.046114;0.75799
4.3917;-0.30703;-0.046132;0.758
4.4;-0.30701;-0.046135;0.75798
4.4083;-0.30704;-0.046141;0.75797
4.4167;-0.30704;-0.046167;0.75799
4.425;-0.30704;-0.04617;0.75796
4.4333;-0.30705;-0.046196;0.75796
4.4417;-0.30705;-0.046159;0.75797
4.45;-0.30705;-0.046196;0.75796
4.4583;-0.30705;-0.046202;0.75796
4.4667;-0.30705;-0.046206;0.75794
4.475;-0.30705;-0.046182;0.75795
4.4833;-0.30704;-0.046194;0.75793
4.4917;-0.30707;-0.046195;0.75794
4.5;-0.30707;-0.04619;0.75793
4.5083;-0.30704;-0.046199;0.75794
4.5167;-0.30705;-0.04619;0.75792
4.525;-0.30706;-0.046206;0.75794
4.5333;-0.30704;-0.046211;0.75793
4.5417;-0.30702;-0.046199;0.75792
4.55;-0.30704;-0.04621;0.75793
4.5583;-0.30706;-0.046226;0.75791
4.5667;-0.30705;-0.046232;0.75792
4.575;-0.30706;-0.046237;0.75793
4.5833;-0.30707;-0.046233;0.75795
4.5917;-0.30707;-0.046241;0.75796
4.6;-0.30707;-0.046214;0.75794
4.6083;-0.30707;-0.046177;0.75797
4.6167;-0.30708;-0.046166;0.75796
4.625;-0.30708;-0.046179;0.75795
4.6333;-0.30705;-0.046201;0.75794
4.6417;-0.30707;-0.046167;0.75793
4.65;-0.30708;-0.046162;0.75795
4.6583;-0.30713;-0.04616;0.75797
4.6667;-0.3071;-0.046155;0.75795
4.675;-0.3071;-0.046182;0.75794
4.6833;-0.30709;-0.046203;0.75794
4.6917;-0.3071;-0.046222;0.75793
4.7;-0.30709;-0.046226;0.75794
4.7083;-0.3071;-0.046222;0.75793
4.7167;-0.3071;-0.046217;0.75795
4.725;-0.3071;-0.046216;0.75795
4.7333;-0.30712;-0.046228;0.75795
4.7417;-0.30712;-0.046226;0.75796
4.75;-0.30711;-0.046246;0.75795
4.7583;-0.30714;-0.046245;0.75797
4.7667;-0.30714;-0.046235;0.75795
4.775;-0.30713;-0.046218;0.75794
4.7833;-0.30712;-0.046227;0.75796
4.7917;-0.30716;-0.046232;0.75793
4.8;-0.30716;-0.046221;0.75792
4.8083;-0.30713;-0.046212;0.75792
4.8167;-0.30711;-0.046226;0.75792
4.825;-0.30714;-0.046224;0.75791
4.8333;-0.30713;-0.046227;0.75792
4.8417;-0.30714;-0.046246;0.75791
4.85;-0.30715;-0.046267;0.75793
4.8583;-0.30713;-0.04626;0.75794
4.8667;-0.30713;-0.04625;0.75795
4.875;-0.30712;-0.046227;0.75795
4.8833;-0.30714;-0.046247;0.75794
4.8917;-0.30715;-0.046235;0.75795
4.9;-0.30711;-0.046245;0.75795
4.9083;-0.30712;-0.04624;0.75794
4.9167;-0.3071;-0.046229;0.75793
4.925;-0.30711;-0.046205;0.75792
4.9333;-0.30715;-0.046216;0.75792
4.9417;-0.30712;-0.046204;0.75792
4.95;-0.30713;-0.046242;0.75791
4.9583;-0.30711;-0.046231;0.75791
4.9667;-0.30713;-0.046234;0.75793
4.975;-0.30717;-0.046225;0.75794
4.9833;-0.30717;-0.04621;0.75792
4.9917;-0.30714;-0.046205;0.75794
5;-0.30712;-0.046202;0.75791
5.0083;-0.30712;-0.046226;0.75792
5.0167;-0.30712;-0.046241;0.7579
5.025;-0.30716;-0.046255;0.75791
5.0333;-0.30713;-0.046203;0.75791
5.0417;-0.30711;-0.046205;0.75792
5.05;-0.30709;-0.046232;0.75791
5.0583;-0.3071;-0.046211;0.7579
5.0667;-0.30711;-0.046206;0.75792
5.075;-0.30712;-0.046196;0.75793
5.0833;-0.30714;-0.046213;0.75792
5.0917;-0.30715;-0.046209;0.75792
5.1;-0.30718;-0.046216;0.75794
5.1083;-0.30716;-0.046203;0.75794
5.1167;-0.30717;-0.046194;0.75792
5.125;-0.30717;-0.046199;0.75793
5.1333;-0.30716;-0.046187;0.75791
5.1417;-0.30716;-0.0462;0.75794
5.15;-0.30717;-0.046195;0.75795
5.1583;-0.3072;-0.046208;0.75796
5.1667;-0.30714;-0.046191;0.75788
5.175;-0.30714;-0.046191;0.7579
5.1833;-0.30717;-0.046204;0.75791
5.1917;-0.30716;-0.046237;0.75791
5.2;-0.30717;-0.046253;0.75795
5.2083;-0.30719;-0.046245;0.75793
5.2167;-0.30719;-0.046196;0.75795
5.225;-0.3072;-0.046231;0.75795
5.2333;-0.30718;-0.046215;0.75793
5.2417;-0.30723;-0.046215;0.75795
5.25;-0.30726;-0.046222;0.75797
5.2583;-0.30724;-0.04622;0.75795
5.2667;-0.30725;-0.046197;0.75793
5.275;-0.30731;-0.046243;0.75793
5.2833;-0.3073;-0.046248;0.75791
5.2917;-0.30732;-0.046269;0.7579
5.3;-0.30731;-0.046252;0.75788
5.3083;-0.30732;-0.04626;0.75788
5.3167;-0.30732;-0.046274;0.7579
5.325;-0.30732;-0.046269;0.7579
5.3333;-0.30732;-0.046302;0.75789
5.3417;-0.3073;-0.046291;0.75788
5.35;-0.30732;-0.046274;0.7579
5.3583;-0.3073;-0.046258;0.75789
5.3667;-0.30727;-0.046253;0.75788
5.375;-0.30726;-0.046255;0.75787
5.3833;-0.30732;-0.046256;0.75791
5.3917;-0.30727;-0.046257;0.75789
5.4;-0.3073;-0.046264;0.75791
5.4083;-0.30732;-0.046256;0.75791
5.4167;-0.30733;-0.046251;0.75793
5.425;-0.30736;-0.046249;0.75794
5.4333;-0.30736;-0.046258;0.75792
5.4417;-0.30734;-0.046276;0.75793
5.45;-0.30733;-0.046243;0.75791
5.4583;-0.30733;-0.046247;0.75792
5.4667;-0.30732;-0.046266;0.75792
5.475;-0.30733;-0.046262;0.75791
5.4833;-0.3073;-0.046235;0.75788
5.4917;-0.30729;-0.046215;0.75786
5.5;-0.30732;-0.046223;0.75785
5.5083;-0.30729;-0.046241;0.75787
5.5167;-0.30731;-0.046256;0.75786
