t;X;Y;Z
0.0083333;-0.5902;0.27578;0.74005
0.016667;-0.59017;0.27568;0.74004
0.025;-0.59013;0.27559;0.74001
0.033333;-0.59008;0.27543;0.74001
0.041667;-0.59005;0.27527;0.73999
0.05;-0.59008;0.27503;0.73996
0.058333;-0.59018;0.27472;0.73996
0.066667;-0.59025;0.27444;0.73997
0.075;-0.59039;0.27407;0.73997
0.083333;-0.59057;0.27377;0.74
0.091667;-0.59075;0.27347;0.73997
0.1;-0.59099;0.27311;0.73992
0.10833;-0.59119;0.27272;0.73987
0.11667;-0.59145;0.27245;0.73983
0.125;-0.59177;0.27221;0.73986
0.13333;-0.59205;0.27197;0.73985
0.14167;-0.59229;0.27177;0.73978
0.15;-0.59255;0.27159;0.73973
0.15833;-0.59286;0.27149;0.73973
0.16667;-0.5933;0.27147;0.73978
0.175;-0.59355;0.27145;0.73985
0.18333;-0.59383;0.27145;0.7399
0.19167;-0.59409;0.27145;0.73987
0.2;-0.59431;0.27147;0.73982
0.20833;-0.59463;0.27155;0.73982
0.21667;-0.59495;0.27168;0.73985
0.225;-0.5953;0.27182;0.73984
0.23333;-0.59589;0.27205;0.73992
0.24167;-0.59616;0.27225;0.73989
0.25;-0.59644;0.27256;0.73985
0.25833;-0.59677;0.27292;0.73985
0.26667;-0.59734;0.27333;0.74011
0.275;-0.59729;0.27384;0.73982
0.28333;-0.59746;0.27433;0.73983
0.29167;-0.59773;0.27489;0.73988
0.3;-0.59808;0.27552;0.7399
0.30833;-0.59824;0.27606;0.73987
0.31667;-0.59842;0.2766;0.73984
0.325;-0.59864;0.27718;0.73988
0.33333;-0.59886;0.27769;0.73987
0.34167;-0.59907;0.2783;0.73987
0.35;-0.59924;0.27908;0.73993
0.35833;-0.59933;0.27976;0.73999
0.36667;-0.59941;0.28051;0.74008
0.375;-0.59939;0.28125;0.74011
0.38333;-0.5997;0.28205;0.74038
0.39167;-0.59912;0.28265;0.74019
0.4;-0.59899;0.28328;0.74022
0.40833;-0.59861;0.28402;0.74015
0.41667;-0.59833;0.2846;0.7402
0.425;-0.59793;0.28509;0.74013
0.43333;-0.59757;0.2856;0.74012
0.44167;-0.59728;0.28613;0.7402
0.45;-0.59671;0.28653;0.74013
0.45833;-0.59603;0.28695;0.74005
0.46667;-0.59553;0.28734;0.74014
0.475;-0.59484;0.28768;0.74017
0.48333;-0.59406;0.28784;0.74016
0.49167;-0.59347;0.28799;0.74011
0.5;-0.5929;0.28811;0.74002
0.50833;-0.59215;0.28818;0.73987
0.51667;-0.59147;0.28826;0.73994
0.525;-0.59086;0.28827;0.74
0.53333;-0.59022;0.28823;0.74004
0.54167;-0.58933;0.28818;0.73981
0.55;-0.58864;0.28809;0.73974
0.55833;-0.58802;0.28808;0.7398
0.56667;-0.58705;0.28803;0.73972
0.575;-0.58627;0.28793;0.73973
0.58333;-0.58558;0.28775;0.73967
0.59167;-0.58498;0.28754;0.73962
0.6;-0.58405;0.2873;0.73946
0.60833;-0.58343;0.28716;0.73956
0.61667;-0.5828;0.28695;0.73961
0.625;-0.5819;0.28656;0.7394
0.63333;-0.58132;0.28619;0.7393
0.64167;-0.58076;0.28576;0.73929
0.65;-0.5801;0.28534;0.73925
0.65833;-0.57955;0.285;0.73928
0.66667;-0.57891;0.28461;0.73927
0.675;-0.57834;0.28415;0.73918
0.68333;-0.57779;0.28359;0.73908
0.69167;-0.57747;0.28302;0.73899
0.7;-0.5772;0.28249;0.73901
0.70833;-0.57687;0.28189;0.73901
0.71667;-0.57644;0.28118;0.73888
0.725;-0.57621;0.28063;0.7389
0.73333;-0.57604;0.28006;0.73897
0.74167;-0.57585;0.2794;0.73899
0.75;-0.57577;0.27876;0.73899
0.75833;-0.57568;0.27811;0.73896
0.76667;-0.57559;0.27733;0.73896
0.775;-0.57565;0.27664;0.73895
0.78333;-0.57576;0.27593;0.73894
0.79167;-0.57583;0.27505;0.73888
0.8;-0.57587;0.27424;0.73871
0.80833;-0.57635;0.2733;0.73889
0.81667;-0.57662;0.27244;0.73882
0.825;-0.57702;0.27151;0.73879
0.83333;-0.5773;0.27053;0.73868
0.84167;-0.57763;0.26937;0.73848
0.85;-0.57822;0.26838;0.73854
0.85833;-0.57876;0.26728;0.73852
0.86667;-0.57961;0.26629;0.73856
0.875;-0.5802;0.26528;0.73847
0.88333;-0.58088;0.26421;0.73832
0.89167;-0.58155;0.26328;0.73825
0.9;-0.58256;0.26233;0.73834
0.90833;-0.5837;0.2615;0.7384
0.91667;-0.58447;0.26071;0.73839
0.925;-0.58536;0.25996;0.73834
0.93333;-0.58623;0.25923;0.73831
0.94167;-0.58713;0.25866;0.73837
0.95;-0.58795;0.25814;0.73846
0.95833;-0.58904;0.25773;0.73833
0.96667;-0.58984;0.25741;0.73835
0.975;-0.59074;0.25724;0.73845
0.98333;-0.59156;0.25716;0.73841
0.99167;-0.59233;0.25702;0.73835
1;-0.59323;0.25711;0.7384
1.0083;-0.59408;0.25723;0.73847
1.0167;-0.5947;0.25733;0.73849
1.025;-0.59531;0.25745;0.73839
1.0333;-0.59621;0.25774;0.73842
1.0417;-0.59693;0.25807;0.7384
1.05;-0.59756;0.25833;0.73837
1.0583;-0.5982;0.25868;0.73842
1.0667;-0.59903;0.25903;0.73844
1.075;-0.59973;0.25947;0.73843
1.0833;-0.60045;0.25983;0.73837
1.0917;-0.60128;0.26024;0.73846
1.1;-0.60186;0.26075;0.73843
1.1083;-0.60254;0.26124;0.73839
1.1167;-0.6033;0.2617;0.73838
1.125;-0.604;0.26229;0.73843
1.1333;-0.60467;0.26283;0.73848
1.1417;-0.60527;0.26335;0.73848
1.15;-0.606;0.26406;0.73849
1.1583;-0.60659;0.26466;0.73838
1.1667;-0.60711;0.26523;0.73835
1.175;-0.60795;0.26593;0.73857
1.1833;-0.60828;0.26655;0.73846
1.1917;-0.60877;0.26731;0.73844
1.2;-0.60936;0.26808;0.73837
1.2083;-0.60959;0.26873;0.73821
1.2167;-0.61014;0.26958;0.73834
1.225;-0.61045;0.27031;0.73831
1.2333;-0.61084;0.27119;0.73836
1.2417;-0.61113;0.27201;0.73843
1.25;-0.61132;0.27286;0.73847
1.2583;-0.61153;0.27376;0.73851
1.2667;-0.61156;0.27461;0.73845
1.275;-0.61177;0.27557;0.73855
1.2833;-0.61179;0.27648;0.73847
1.2917;-0.61193;0.27749;0.73858
1.3;-0.61179;0.27841;0.73851
1.3083;-0.61157;0.27935;0.73844
1.3167;-0.61135;0.28025;0.73844
1.325;-0.6112;0.28116;0.73839
1.3333;-0.61125;0.28212;0.73858
1.3417;-0.61088;0.28301;0.7386
1.35;-0.61067;0.2839;0.73867
1.3583;-0.61034;0.28485;0.73867
1.3667;-0.60986;0.28567;0.73863
1.375;-0.60947;0.28656;0.73868
1.3833;-0.60898;0.28743;0.73862
1.3917;-0.60849;0.28819;0.73858
1.4;-0.60807;0.28894;0.73863
1.4083;-0.60746;0.28972;0.73868
1.4167;-0.60665;0.29039;0.73863
1.425;-0.6063;0.29122;0.73882
1.4333;-0.60526;0.29171;0.73865
1.4417;-0.60454;0.2924;0.73856
1.45;-0.60365;0.293;0.73855
1.4583;-0.6031;0.29368;0.73881
1.4667;-0.60209;0.29423;0.73876
1.475;-0.60142;0.29462;0.73878
1.4833;-0.60052;0.29511;0.73872
1.4917;-0.59951;0.2956;0.73876
1.5;-0.59853;0.29599;0.73876
1.5083;-0.59773;0.29639;0.73866
1.5167;-0.59699;0.29679;0.73873
1.525;-0.59586;0.29714;0.73873
1.5333;-0.595;0.29739;0.73884
1.5417;-0.59462;0.29773;0.73905
1.55;-0.59323;0.29795;0.73872
1.5583;-0.59246;0.29828;0.73893
1.5667;-0.59119;0.2984;0.73879
1.575;-0.59047;0.29852;0.73887
1.5833;-0.58934;0.29859;0.73869
1.5917;-0.58834;0.29881;0.73872
1.6;-0.58762;0.29895;0.73892
1.6083;-0.58672;0.29907;0.73891
1.6167;-0.58556;0.29907;0.73883
1.625;-0.58468;0.29907;0.73894
1.6333;-0.58377;0.29904;0.73892
1.6417;-0.58277;0.29901;0.73884
1.65;-0.58174;0.29897;0.73889
1.6583;-0.58066;0.29888;0.73886
1.6667;-0.57992;0.29874;0.73891
1.675;-0.57894;0.29852;0.73884
1.6833;-0.57797;0.29824;0.73884
1.6917;-0.57715;0.298;0.73894
1.7;-0.57629;0.29773;0.73893
1.7083;-0.57537;0.29737;0.73877
1.7167;-0.57459;0.29699;0.73883
1.725;-0.57379;0.29657;0.73889
1.7333;-0.57286;0.29596;0.7387
1.7417;-0.57224;0.29541;0.73874
1.75;-0.57168;0.29493;0.73883
1.7583;-0.57071;0.29422;0.7387
1.7667;-0.57019;0.2936;0.73883
1.775;-0.5695;0.29278;0.73871
1.7833;-0.56895;0.2921;0.73874
1.7917;-0.56857;0.29128;0.7388
1.8;-0.56782;0.29037;0.73868
1.8083;-0.56723;0.28957;0.73869
1.8167;-0.56678;0.28859;0.73871
1.825;-0.56645;0.28783;0.73879
1.8333;-0.56593;0.2867;0.73858
1.8417;-0.56571;0.28578;0.73861
1.85;-0.56541;0.28466;0.73857
1.8583;-0.56521;0.28373;0.73859
1.8667;-0.56502;0.28254;0.7386
1.875;-0.56465;0.28151;0.73857
1.8833;-0.56455;0.28028;0.7386
1.8917;-0.56448;0.2792;0.73865
1.9;-0.56426;0.27806;0.73851
1.9083;-0.56405;0.27678;0.73846
1.9167;-0.56407;0.27568;0.73845
1.925;-0.56408;0.27445;0.73845
1.9333;-0.56426;0.27334;0.73853
1.9417;-0.56442;0.27217;0.73834
1.95;-0.56446;0.27093;0.73849
1.9583;-0.56468;0.26975;0.73852
1.9667;-0.56485;0.26857;0.73854
1.975;-0.56493;0.26725;0.73832
1.9833;-0.5652;0.26617;0.7383
1.9917;-0.56543;0.26493;0.73822
2;-0.5658;0.26385;0.7382
2.0083;-0.56615;0.26277;0.73822
2.0167;-0.56657;0.26165;0.73811
2.025;-0.56704;0.26065;0.73825
2.0333;-0.56754;0.2595;0.73807
2.0417;-0.5681;0.25854;0.73823
2.05;-0.56869;0.25755;0.73827
2.0583;-0.56939;0.25667;0.73826
2.0667;-0.56998;0.25579;0.73823
2.075;-0.57057;0.25481;0.73814
2.0833;-0.57115;0.25401;0.73809
2.0917;-0.57187;0.25314;0.73809
2.1;-0.57267;0.2524;0.73815
2.1083;-0.57345;0.25168;0.7381
2.1167;-0.57417;0.251;0.73799
2.125;-0.57504;0.25034;0.73807
2.1333;-0.57565;0.24967;0.73797
2.1417;-0.57685;0.24927;0.7382
2.15;-0.57755;0.24863;0.73818
2.1583;-0.57844;0.24812;0.73808
2.1667;-0.57948;0.2477;0.73825
2.175;-0.57994;0.24725;0.73806
2.1833;-0.58065;0.24688;0.73813
2.1917;-0.58177;0.24655;0.73803
2.2;-0.58261;0.24622;0.73802
2.2083;-0.58353;0.24598;0.73811
2.2167;-0.58448;0.24575;0.73809
2.225;-0.5854;0.24552;0.73798
2.2333;-0.5864;0.24534;0.73804
2.2417;-0.58742;0.24525;0.73815
2.25;-0.58823;0.24513;0.73809
2.2583;-0.58933;0.24508;0.73803
2.2667;-0.59037;0.24515;0.7381
2.275;-0.59128;0.24516;0.73818
2.2833;-0.59251;0.24527;0.7382
2.2917;-0.59332;0.24528;0.73802
2.3;-0.59425;0.24546;0.73805
2.3083;-0.59534;0.24567;0.7382
2.3167;-0.59658;0.24589;0.73808
2.325;-0.59756;0.24601;0.7381
2.3333;-0.59857;0.24627;0.73809
2.3417;-0.59982;0.24654;0.73806
2.35;-0.60099;0.24684;0.7381
2.3583;-0.6019;0.24711;0.73808
2.3667;-0.60319;0.24751;0.73806
2.375;-0.60424;0.24787;0.73803
2.3833;-0.60538;0.24828;0.73809
2.3917;-0.60647;0.2487;0.73804
2.4;-0.60773;0.24923;0.73802
2.4083;-0.60862;0.24971;0.73811
2.4167;-0.60982;0.2503;0.73818
2.425;-0.61084;0.25078;0.73804
2.4333;-0.6118;0.2515;0.73813
2.4417;-0.61286;0.2521;0.73817
2.45;-0.61376;0.25278;0.73808
2.4583;-0.61486;0.25348;0.73821
2.4667;-0.61567;0.25426;0.73822
2.475;-0.61654;0.255;0.73812
2.4833;-0.61756;0.25576;0.73811
2.4917;-0.61831;0.25652;0.73817
2.5;-0.61931;0.25743;0.73829
2.5083;-0.6201;0.25824;0.73816
2.5167;-0.62099;0.25909;0.73812
2.525;-0.62181;0.25998;0.73821
2.5333;-0.62258;0.26093;0.7383
2.5417;-0.6233;0.26183;0.73821
2.55;-0.62399;0.26281;0.73818
2.5583;-0.62465;0.26374;0.73811
2.5667;-0.62528;0.26486;0.7382
2.575;-0.62566;0.26582;0.73818
2.5833;-0.62625;0.26692;0.73824
2.5917;-0.62674;0.26796;0.73824
2.6;-0.62711;0.26904;0.73823
2.6083;-0.62731;0.2701;0.73815
2.6167;-0.62749;0.27119;0.7381
2.625;-0.62784;0.27241;0.73823
2.6333;-0.62785;0.27349;0.73819
2.6417;-0.62792;0.27474;0.73822
2.65;-0.62785;0.27579;0.73814
2.6583;-0.62793;0.27696;0.73823
2.6667;-0.62785;0.27814;0.73823
2.675;-0.62781;0.27935;0.7383
2.6833;-0.62774;0.28059;0.73833
2.6917;-0.62756;0.28177;0.73832
2.7;-0.62723;0.28283;0.73824
2.7083;-0.62702;0.284;0.73817
2.7167;-0.62698;0.28517;0.73832
2.725;-0.62682;0.2863;0.73832
2.7333;-0.62657;0.28747;0.73832
2.7417;-0.62641;0.28859;0.73838
2.75;-0.62616;0.28972;0.73836
2.7583;-0.62606;0.2909;0.73847
2.7667;-0.62583;0.29202;0.73852
2.775;-0.62536;0.29318;0.73858
2.7833;-0.6252;0.29418;0.73849
2.7917;-0.62498;0.29533;0.73856
2.8;-0.62459;0.29638;0.73857
2.8083;-0.62424;0.29748;0.73862
2.8167;-0.62367;0.29854;0.73866
2.825;-0.62323;0.29959;0.73868
2.8333;-0.62265;0.30064;0.73871
2.8417;-0.62197;0.30165;0.73855
2.85;-0.62138;0.30264;0.73854
2.8583;-0.62091;0.3038;0.73877
2.8667;-0.61981;0.30473;0.73868
2.875;-0.61906;0.30581;0.73873
2.8833;-0.61804;0.30679;0.73861
2.8917;-0.61716;0.30772;0.73868
2.9;-0.61591;0.30872;0.73865
2.9083;-0.61491;0.3097;0.73863
2.9167;-0.6137;0.31051;0.73859
2.925;-0.61236;0.31147;0.73867
2.9333;-0.6112;0.31224;0.73869
2.9417;-0.61003;0.31315;0.73878
2.95;-0.60852;0.31391;0.73875
2.9583;-0.60717;0.31464;0.73875
2.9667;-0.6058;0.31536;0.73876
2.975;-0.60418;0.31607;0.73874
2.9833;-0.60251;0.31668;0.73862
2.9917;-0.60105;0.3174;0.73878
3;-0.59943;0.31792;0.7387
3.0083;-0.59779;0.31857;0.7387
3.0167;-0.5961;0.31899;0.73867
3.025;-0.59458;0.31954;0.73877
3.0333;-0.59289;0.31996;0.7388
3.0417;-0.59119;0.32029;0.73877
3.05;-0.58971;0.32065;0.73888
3.0583;-0.588;0.32093;0.73888
3.0667;-0.58629;0.32105;0.73879
3.075;-0.5848;0.32129;0.7389
3.0833;-0.58317;0.32143;0.73884
3.0917;-0.5815;0.32146;0.7388
3.1;-0.58006;0.32146;0.73884
3.1083;-0.57851;0.32139;0.73891
3.1167;-0.57682;0.3212;0.73881
3.125;-0.57556;0.32109;0.7389
3.1333;-0.57391;0.32092;0.73887
3.1417;-0.57275;0.32068;0.73894
3.15;-0.57105;0.32032;0.73882
3.1583;-0.56976;0.32001;0.73891
3.1667;-0.56828;0.31957;0.73882
3.175;-0.5671;0.31916;0.73892
3.1833;-0.56571;0.31866;0.7388
3.1917;-0.56442;0.31804;0.73884
3.2;-0.56311;0.31745;0.73879
3.2083;-0.56198;0.31658;0.73868
3.2167;-0.56084;0.31591;0.73874
3.225;-0.55967;0.3151;0.73878
3.2333;-0.55881;0.31413;0.73882
3.2417;-0.55765;0.31328;0.73877
3.25;-0.55672;0.31232;0.73884
3.2583;-0.5558;0.31129;0.73886
3.2667;-0.55489;0.31024;0.73879
3.275;-0.55381;0.3091;0.7387
3.2833;-0.553;0.30812;0.73876
3.2917;-0.55215;0.3069;0.73876
3.3;-0.55088;0.30583;0.73844
3.3083;-0.55019;0.3046;0.73853
3.3167;-0.54944;0.30352;0.73859
3.325;-0.54879;0.30231;0.73867
3.3333;-0.54796;0.30107;0.73863
3.3417;-0.54708;0.29989;0.73855
3.35;-0.54632;0.29856;0.7385
3.3583;-0.54576;0.2974;0.7385
3.3667;-0.54506;0.29599;0.73854
3.375;-0.54433;0.29467;0.73843
3.3833;-0.54376;0.29346;0.73848
3.3917;-0.54314;0.29202;0.73852
3.4;-0.54246;0.29083;0.73841
3.4083;-0.54192;0.28944;0.73838
3.4167;-0.5414;0.28813;0.73835
3.425;-0.54101;0.28683;0.73841
3.4333;-0.54056;0.28542;0.73835
3.4417;-0.54024;0.28404;0.73844
3.45;-0.53982;0.28268;0.7384
3.4583;-0.53955;0.28127;0.73841
3.4667;-0.53917;0.27979;0.73832
3.475;-0.53891;0.27848;0.73832
3.4833;-0.53873;0.27697;0.7383
3.4917;-0.53849;0.27541;0.73825
3.5;-0.53836;0.27392;0.73836
3.5083;-0.53825;0.27246;0.73831
3.5167;-0.53823;0.27095;0.7383
3.525;-0.53823;0.26935;0.73832
3.5333;-0.5383;0.26771;0.73831
3.5417;-0.5383;0.26621;0.73831
3.55;-0.53836;0.2646;0.73832
3.5583;-0.53852;0.26307;0.73834
3.5667;-0.53877;0.26148;0.73836
3.575;-0.53903;0.2598;0.73833
3.5833;-0.53924;0.25813;0.73825
3.5917;-0.5396;0.25658;0.73822
3.6;-0.53997;0.255;0.73818
3.6083;-0.54042;0.25346;0.73821
3.6167;-0.54096;0.25198;0.73825
3.625;-0.54149;0.25037;0.73823
3.6333;-0.54217;0.24883;0.73823
3.6417;-0.54272;0.24728;0.73814
3.65;-0.54347;0.2458;0.73818
3.6583;-0.54409;0.24442;0.7381
3.6667;-0.54492;0.24303;0.7382
3.675;-0.54559;0.24162;0.73802
3.6833;-0.54653;0.24023;0.73812
3.6917;-0.5473;0.23901;0.73804
3.7;-0.5482;0.23775;0.73809
3.7083;-0.5492;0.23651;0.73807
3.7167;-0.55007;0.23518;0.73797
3.725;-0.5511;0.23412;0.73788
3.7333;-0.55229;0.2331;0.73816
3.7417;-0.55324;0.23182;0.73807
3.75;-0.55475;0.23087;0.73827
3.7583;-0.55566;0.22994;0.73829
3.7667;-0.55692;0.22893;0.73827
3.775;-0.5581;0.22798;0.73815
3.7833;-0.55926;0.22709;0.73818
3.7917;-0.56066;0.22634;0.73833
3.8;-0.56208;0.2254;0.73831
3.8083;-0.56315;0.22465;0.73814
3.8167;-0.56441;0.22384;0.73817
3.825;-0.56608;0.22319;0.73823
3.8333;-0.56746;0.2226;0.7383
3.8417;-0.5688;0.2219;0.7382
3.85;-0.5704;0.22143;0.73831
3.8583;-0.57165;0.221;0.73831
3.8667;-0.57339;0.22059;0.73843
3.875;-0.5747;0.22021;0.73831
3.8833;-0.57632;0.2199;0.73825
3.8917;-0.57715;0.21952;0.73789
3.9;-0.57932;0.21942;0.7384
3.9083;-0.58108;0.21928;0.7384
3.9167;-0.58251;0.21901;0.7384
3.925;-0.58437;0.21891;0.73851
3.9333;-0.58653;0.21884;0.73899
3.9417;-0.5872;0.21865;0.73815
3.95;-0.5893;0.21861;0.73844
3.9583;-0.59131;0.21873;0.73865
3.9667;-0.59323;0.21883;0.73867
3.975;-0.59457;0.2188;0.73853
3.9833;-0.59644;0.2191;0.73862
3.9917;-0.59817;0.21931;0.73867
4;-0.59977;0.21953;0.73851
4.0083;-0.60155;0.21992;0.73866
4.0167;-0.60305;0.22017;0.73844
4.025;-0.60473;0.22059;0.73854
4.0333;-0.60652;0.2211;0.73865
4.0417;-0.60799;0.22154;0.73856
4.05;-0.60962;0.22211;0.73863
4.0583;-0.61134;0.22267;0.73863
4.0667;-0.61259;0.22335;0.73865
4.075;-0.61413;0.224;0.73864
4.0833;-0.61535;0.22474;0.73859
4.0917;-0.61673;0.22545;0.73855
4.1;-0.61852;0.22634;0.73873
4.1083;-0.61981;0.22713;0.73879
4.1167;-0.62115;0.22792;0.73866
4.125;-0.62242;0.22878;0.73862
4.1333;-0.62377;0.22968;0.73866
4.1417;-0.62518;0.23061;0.73875
4.15;-0.62647;0.23157;0.73878
4.1583;-0.62775;0.23258;0.73872
4.1667;-0.62893;0.23357;0.7387
4.175;-0.63016;0.23467;0.73868
4.1833;-0.63137;0.23566;0.73865
4.1917;-0.6325;0.2368;0.73864
4.2;-0.63368;0.23799;0.73874
4.2083;-0.63484;0.23908;0.73868
4.2167;-0.63584;0.24025;0.7388
4.225;-0.63692;0.24153;0.73878
4.2333;-0.63811;0.24282;0.73881
4.2417;-0.63875;0.24399;0.73863
4.25;-0.63995;0.24541;0.73877
4.2583;-0.6409;0.24679;0.7388
4.2667;-0.64195;0.24809;0.73894
4.275;-0.64265;0.24936;0.73883
4.2833;-0.64382;0.25076;0.73899
4.2917;-0.64467;0.25207;0.73904
4.3;-0.64564;0.2534;0.73914
4.3083;-0.64633;0.25459;0.73901
4.3167;-0.64733;0.25598;0.73903
4.325;-0.64827;0.25731;0.73922
4.3333;-0.64925;0.25862;0.73936
4.3417;-0.64992;0.25988;0.73923
4.35;-0.65091;0.26122;0.73927
4.3583;-0.65158;0.2626;0.73928
4.3667;-0.65238;0.26391;0.73935
4.375;-0.65313;0.26519;0.73924
4.3833;-0.65393;0.26662;0.73923
4.3917;-0.65477;0.26805;0.73941
4.4;-0.65556;0.26932;0.73958
4.4083;-0.6562;0.27069;0.73948
4.4167;-0.65674;0.27201;0.73931
4.425;-0.65749;0.27347;0.73944
4.4333;-0.65783;0.27486;0.73935
4.4417;-0.65829;0.27625;0.73939
4.45;-0.65889;0.27771;0.7395
4.4583;-0.65921;0.27914;0.73942
4.4667;-0.65953;0.28055;0.73941
4.475;-0.65999;0.28205;0.73947
4.4833;-0.66026;0.28348;0.73948
4.4917;-0.66026;0.28496;0.73938
4.5;-0.66039;0.28644;0.73946
4.5083;-0.66054;0.28798;0.73956
4.5167;-0.66059;0.28938;0.7396
4.525;-0.66049;0.29091;0.73957
4.5333;-0.66024;0.29245;0.73946
4.5417;-0.6601;0.29399;0.7395
4.55;-0.66001;0.29546;0.73955
4.5583;-0.65984;0.29692;0.73963
4.5667;-0.65948;0.29838;0.73958
4.575;-0.65919;0.29987;0.73964
4.5833;-0.65892;0.30131;0.7397
4.5917;-0.65843;0.30276;0.73968
4.6;-0.65797;0.30417;0.73966
4.6083;-0.65732;0.30554;0.73956
4.6167;-0.65688;0.30696;0.73964
4.625;-0.65643;0.30841;0.73976
4.6333;-0.65578;0.30981;0.73974
4.6417;-0.65522;0.31117;0.73972
4.65;-0.65461;0.31245;0.73964
4.6583;-0.654;0.31386;0.73959
4.6667;-0.65337;0.31516;0.73966
4.675;-0.65267;0.31648;0.73967
4.6833;-0.65196;0.31771;0.73975
4.6917;-0.65132;0.31908;0.73978
4.7;-0.6505;0.32032;0.7397
4.7083;-0.64969;0.3215;0.7397
4.7167;-0.64866;0.32275;0.73971
4.725;-0.64779;0.32404;0.73973
4.7333;-0.64685;0.32527;0.73968
4.7417;-0.64589;0.32648;0.73968
4.75;-0.64481;0.32775;0.73976
4.7583;-0.64375;0.32894;0.73975
4.7667;-0.6425;0.33015;0.73968
4.775;-0.64148;0.3314;0.73981
4.7833;-0.64011;0.33251;0.7398
4.7917;-0.63875;0.33371;0.73981
4.8;-0.6375;0.33497;0.73986
4.8083;-0.63615;0.33597;0.73988
4.8167;-0.63446;0.33715;0.73981
4.825;-0.63313;0.33835;0.7399
4.8333;-0.63154;0.33941;0.73992
4.8417;-0.6299;0.34036;0.73986
4.85;-0.62838;0.34148;0.74
4.8583;-0.62694;0.34257;0.74002
4.8667;-0.62525;0.34352;0.74008
4.875;-0.62357;0.34443;0.73997
4.8833;-0.62215;0.34541;0.74015
4.8917;-0.62044;0.34616;0.74013
4.9;-0.61886;0.34709;0.74016
4.9083;-0.61727;0.34788;0.7402
4.9167;-0.61583;0.3486;0.74027
4.925;-0.61406;0.34929;0.74029
4.9333;-0.61256;0.34993;0.7402
4.9417;-0.61107;0.35058;0.74041
4.95;-0.60948;0.35122;0.74029
4.9583;-0.60774;0.35171;0.7403
4.9667;-0.60625;0.35234;0.74037
4.975;-0.6045;0.35281;0.74035
4.9833;-0.6029;0.35343;0.74032
4.9917;-0.60108;0.35383;0.74031
5;-0.59952;0.35437;0.74041
5.0083;-0.59768;0.35485;0.74039
5.0167;-0.59592;0.35522;0.74044
5.025;-0.59402;0.35569;0.74044
5.0333;-0.59212;0.35599;0.74039
5.0417;-0.59031;0.35645;0.74056
5.05;-0.58837;0.35683;0.74049
5.0583;-0.58618;0.35702;0.74048
5.0667;-0.58433;0.35734;0.74054
5.075;-0.58238;0.35763;0.74057
5.0833;-0.5804;0.35781;0.74069
5.0917;-0.57847;0.35783;0.74061
5.1;-0.57644;0.35804;0.74067
5.1083;-0.57441;0.35803;0.74062
5.1167;-0.57242;0.35813;0.7407
5.125;-0.57065;0.35802;0.74073
5.1333;-0.56853;0.35792;0.74071
5.1417;-0.56647;0.35782;0.74069
5.15;-0.56475;0.35778;0.74075
5.1583;-0.56273;0.35752;0.74071
5.1667;-0.56076;0.35721;0.74057
5.175;-0.55941;0.35717;0.74083
5.1833;-0.55713;0.35679;0.7407
5.1917;-0.5554;0.35656;0.74069
5.2;-0.55268;0.35527;0.74002
5.2083;-0.55155;0.35554;0.74046
5.2167;-0.54922;0.35442;0.74001
5.225;-0.54731;0.35388;0.73994
5.2333;-0.5458;0.35336;0.73995
5.2417;-0.54428;0.35279;0.74
5.25;-0.54244;0.35216;0.73991
5.2583;-0.54186;0.35252;0.74057
5.2667;-0.53944;0.35097;0.74
5.275;-0.53775;0.3501;0.73986
5.2833;-0.53665;0.34955;0.73996
5.2917;-0.53492;0.34864;0.73992
5.3;-0.53343;0.34779;0.74
5.3083;-0.53193;0.3469;0.73994
5.3167;-0.53047;0.34609;0.73989
5.325;-0.52879;0.34512;0.73988
5.3333;-0.52761;0.34422;0.73994
5.3417;-0.52662;0.34395;0.74032
5.35;-0.52473;0.34221;0.73994
5.3583;-0.52327;0.34108;0.73983
5.3667;-0.52194;0.34002;0.73984
5.375;-0.52067;0.33884;0.73978
5.3833;-0.51941;0.33771;0.73973
5.3917;-0.5189;0.33721;0.74018
5.4;-0.51777;0.33604;0.74017
5.4083;-0.51588;0.33406;0.73969
5.4167;-0.51565;0.33366;0.74033
5.425;-0.5144;0.33244;0.74026
5.4333;-0.51325;0.33097;0.74016
5.4417;-0.51243;0.32992;0.74032
5.45;-0.51112;0.3284;0.74022
5.4583;-0.51031;0.32717;0.74021
5.4667;-0.50938;0.3257;0.74017
5.475;-0.50865;0.32447;0.74034
5.4833;-0.50741;0.32304;0.74021
5.4917;-0.50633;0.3214;0.73998
5.5;-0.50482;0.31925;0.73956
5.5083;-0.50494;0.31905;0.74025
5.5167;-0.50398;0.31761;0.74022
5.525;-0.5032;0.31627;0.74017
5.5333;-0.50248;0.31489;0.74012
5.5417;-0.50186;0.31361;0.74016
5.55;-0.50123;0.31229;0.74023
5.5583;-0.50039;0.31079;0.7401
5.5667;-0.49967;0.30936;0.74003
5.575;-0.49906;0.308;0.74
5.5833;-0.49846;0.30664;0.74001
5.5917;-0.49789;0.30516;0.74001
5.6;-0.49729;0.3039;0.74008
5.6083;-0.4969;0.30259;0.74012
5.6167;-0.49638;0.30123;0.74011
5.625;-0.4958;0.29993;0.74004
5.6333;-0.49536;0.29849;0.73996
5.6417;-0.49478;0.29711;0.73993
5.65;-0.4943;0.29586;0.73992
